Episode,Score,Avg_Score_100
638,30.69197080291913,35.46599095065516
639,56.06896551724425,35.46610917725615
640,41.40185873605898,35.52127591276489
641,33.829411764705476,35.55223346083266
642,29.101234567900853,35.551946486783784
643,34.46111111111063,35.5541638696719
644,28.339549839227935,35.62486033893797
645,20.142446043164913,35.51697107387943
646,31.531292517006328,35.27182552728869
647,34.27532467532423,35.35675487467086
648,56.07910447761441,35.7274853133864
649,27.023076923076367,35.732137135248756
650,23.045762711863638,35.63256773534036
651,43.67272727272681,35.74132089803527
652,41.59298245613998,35.83125072259668
653,24.13642384105909,35.82560087650023
654,27.73669064748146,35.606850135916225
655,18.61780821917755,35.45311912719892
656,21.3419354838705,35.245608657476225
657,25.461111111110505,34.95480876535109
658,22.45628742514922,34.89575926175242
659,25.228571428570923,34.587294976038095
660,21.67499999999947,34.35033179774351
661,32.1675675675672,34.266007473419194
662,26.681081081080485,34.345163111816206
663,38.091970802919214,34.48308281984541
664,25.554983922829067,34.520933599512574
665,36.73333333333281,34.328131797710746
666,44.35820895522356,34.482794347033106
667,42.205190311418214,34.34401460031561
668,56.018771331060776,34.637886524152535
669,45.95304659498174,34.92702641771179
670,56.08523489933309,35.18023087938118
671,42.337800687284876,35.264947869304876
672,34.33922261484034,35.289067986609744
673,56.04705882352958,35.495988052196964
674,42.391970802919296,35.566662085485675
675,32.71258741258675,35.33283468858351
676,56.04612794612986,35.58998304287474
677,33.839372822299126,35.36782121554215
678,49.995340501792384,35.610001457620776
679,40.25505226480798,35.79090389664516
680,34.55593220338929,35.76646321867906
681,37.78477508650475,35.80023176162332
682,31.107070707070328,35.86401675440832
683,36.89124087591181,35.96713935425025
684,29.110344827585678,35.99576598133406
685,32.80726072607218,35.76317192192808
686,28.208814589665195,35.484532795097444
687,18.22298136645911,35.10619118019058
688,36.533812949639795,35.138977259213796
689,27.7114551083587,35.29979003514946
690,31.845945945945566,35.271437414072004
691,22.849367088607025,35.40073805546746
692,56.07272727272937,35.694999530149154
693,56.02953020134639,36.05764226418679
694,49.573553719007656,36.22568314488833
695,56.04050632911634,36.539015600918766
696,56.01414141414371,36.832016075462896
697,26.223076923076363,36.658532558979374
698,26.047368421052063,36.59184751303117
699,29.99741100323581,36.67142094966286
700,44.833812949639906,36.849579591979776
701,29.56842105263113,36.65470448047219
702,44.920895522387646,36.71954067583945
703,35.82307692307648,36.78232700062576
704,38.110526315788945,36.88253594271342
705,46.5031128404665,37.00896423423866
706,21.920560747663146,36.99935776117839
707,33.54246575342423,36.77436117329137
708,56.021678321682984,36.82822501533173
709,42.31052631578901,37.08386516221056
710,29.174074074073616,36.992782373539534
711,27.182817869415587,37.031144754188084
712,42.73669064748168,37.009952338629006
713,37.12550335570432,36.82025615267385
714,26.407070707070254,36.867652441139896
715,27.77073170731658,36.79699285173825
716,26.89542483660088,36.50588907962642
717,22.746511627906628,36.47027828831474
718,19.347337278105954,36.411590821934965
719,25.948407643311583,36.110970420756104
720,25.697435897435533,35.85608397386966
721,25.53411371237408,35.65421298978128
722,39.68148148148098,35.70534695353226
723,56.054545454549725,36.016496909685486
724,28.90743034055687,35.87135909187893
725,26.67898089171935,35.70301096976164
726,19.647368421051972,35.49897375054538
727,44.305211726383845,35.49264838436551
728,32.928571428571054,35.55062117348116
729,33.06339869281007,35.320818337304566
730,33.492982456139856,35.3307170334613
731,33.64545454545406,35.35988586463013
732,43.73956834532342,35.50116699699978
733,40.40175438596447,35.589482554104464
734,36.65894039735057,35.61500153554276
735,56.04210526316035,35.7698955123621
736,34.64259927797779,35.55590687099551
737,46.19259259259202,35.6955606880779
738,24.78381502890136,35.63647913033772
